Learning Rate,0.1,0.01,0.001,0.0001,,,,,
Number of hidden layers,2,3,4,,,,,,
Number of units per hidden layer,30,50,70,90,110,,,,
Number of iterations,500,1000,5000,,,,,,
,,,,,,,,,
,,,,,,,,,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.1,4,110,500,15.829721509301,12.3818558253599,29.691967176305,141.318199110487,75.8917758049703,215.249962669875
0.1,4,110,1000,6.95320875012134,7.13361247201984,15.5165520608314,18.98356553743,19.5076652148805,42.0462498781403
0.1,4,110,5000,5.3071738489289,4.79681465063202,5.7841774301574,11.0816620612001,17.1748743027549,13.4749689642728
0.01,2,30,500,8.51360368281496,7.98219830802317,7.56520552710979,4.84455206554631,8.56708172700551,2.01252047181566
0.01,2,30,1000,1.78156413546939,1.8813315402256,2.03567350812075,1.55844716631794,4.14254025268547,2.20829817842474
0.01,2,30,5000,0.520166450548315,0.614957431052309,0.59858714502554,0.8148574354438,0.446538936448404,0.910005748285815
0.01,2,50,500,6.37295180456697,8.45138035463483,8.72785651884857,4.52452588847782,11.2891372705417,2.50415337577625
0.01,2,50,1000,1.8400698378381,3.05276077784849,3.7523409125328,2.96652825601455,11.609864134425,2.63519226585306
0.01,2,50,5000,0.835286509150047,0.687197428307868,0.781191972887268,0.778605362564019,0.511896113865062,0.271302544879421
0.01,2,70,500,3.22721402616557,4.17956234364027,5.20329136616047,3.99179183856963,6.89983726020208,1.10025266113709
0.01,2,70,1000,0.975390243274681,1.088748889023,1.65732266592814,1.02924433385934,3.01053855317108,0.875453742455902
0.01,2,70,5000,0.202357373637246,0.217930748152348,0.285041235322306,0.597015641470119,1.36322601890493,0.561838325032957
0.01,2,90,500,3.2222878128157,4.63204544581724,4.97844157951536,1.18567342859624,6.92611196115793,2.03183313606788
0.01,2,90,1000,0.930602292312829,1.09599252765098,1.58633834174917,1.21106364971474,3.14032202148374,1.32535005723953
0.01,2,90,5000,0.199879845160304,0.235300491595175,0.240319079232823,0.416605541349016,0.878228479635582,0.320195535757657
0.01,2,110,500,2.93743459967459,4.06836177525895,4.39096403743145,1.92486855091022,4.24536261085726,1.50870603484361
0.01,2,110,1000,0.961672491867827,1.08975185437149,1.52040212517828,1.24410164340749,3.0190795687265,1.09776751217317
0.01,2,110,5000,0.989089544444269,1.08688868833392,1.1405400660584,1.72762918229614,4.1575280170227,2.30048235251168
0.01,3,30,500,3.54489943652053,3.96405337901598,3.14030877484358,3.57719044632957,4.0295607763201,1.25072328848231
0.01,3,30,1000,1.43460466201413,2.14332837737008,1.98176271986465,3.81594998342845,5.16031366521345,3.81515105353398
0.01,3,30,5000,0.296615649924553,0.289934136894312,0.271740382792319,0.210944508744744,1.04506232856062,0.224046360391277
0.01,3,50,500,4.30992007449468,3.76671780361218,2.72322362077072,3.66149826293848,4.13958608657271,0.950470919525994
0.01,3,50,1000,0.745066706371577,0.916547453805302,1.02132541441373,1.60376765548752,2.6080681752029,0.924832289754613
0.01,3,50,5000,0.191143463944091,0.232987993218926,0.291203999387368,0.438465897123545,1.45255478892049,0.59539108036563
0.01,3,70,500,2.53079137034432,2.81358354547051,2.50350768453807,3.08260889799627,4.89984942441549,1.73550345451928
0.01,3,70,1000,0.905325467259178,1.28127537416608,1.63740889961007,2.06402538638284,2.57855258024688,1.34605530617911
0.01,3,70,5000,0.829089779898626,0.881781268283704,0.822156725652149,1.02575111146545,0.954563336960909,0.769740311205401
0.01,3,90,500,1.60975552605363,1.94214381528704,2.19848837579442,0.639219437160337,3.60681091686021,0.597324694964186
0.01,3,90,1000,0.535204482595845,0.546273220790906,0.849743344991854,0.418320214818428,1.82807274547165,0.620943343080784
0.01,3,90,5000,0.606892879490707,0.328726035812909,0.291997120327915,0.467741691037007,0.827882617461211,0.691786310151392
0.01,3,110,500,1.71625029554974,2.36079183857093,2.49555503943151,1.65672632153174,4.50833552723611,1.34589957882889
0.01,3,110,1000,0.970666982534729,0.690665941559867,0.718899825502675,0.874101062867665,1.8684058016347,0.67093831114078
0.01,3,110,5000,0.595015538150648,0.770618936667943,0.698655217817837,1.22960944140751,1.46847704059661,1.02127215792356
0.01,4,30,500,2.65327327043094,3.27515334225772,3.52324685707071,2.48338941052146,3.36295080530913,1.69437229548172
0.01,4,30,1000,1.40244866013916,0.768614351079705,1.0064276021521,1.15881506544027,2.03368270691979,0.787134077460016
0.01,4,30,5000,0.423598997377207,0.572744648108322,0.531498208672049,0.375905520565535,0.789401029067707,0.353149134674475
0.01,4,50,500,0.705878402419785,1.63477351156513,2.21179994617495,0.423572200753441,3.47550692187186,1.74251767391874
0.01,4,50,1000,0.495702524610541,0.30360704057672,0.705598972972689,0.933863079922102,2.45100211396652,1.33349978856768
0.01,4,50,5000,0.170646244468042,0.175133180082514,0.178537954427485,0.187680086497251,0.360775416896439,0.316529692874778
0.01,4,70,500,1.5019600148303,2.25476039929336,2.86295223836414,1.79961790004668,3.26730826851485,1.29506153553544
0.01,4,70,1000,2.22713747988301,2.36401369478582,3.09927003605867,7.14450562131153,5.98933371110621,5.89121794284906
0.01,4,70,5000,0.20778657208337,0.26192825831724,0.229638393147362,0.167909757701777,0.200104200291081,0.211640406104555
0.01,4,90,500,0.598378094992707,1.78030635533708,1.85861461706888,0.694651884811303,0.844292784581245,0.519532576541532
0.01,4,90,1000,0.382803066854728,0.54135268993592,0.858928542911433,0.142576033899658,0.422238538139455,0.158340275303292
0.01,4,90,5000,0.280811950125726,0.092422664385114,0.191045686016924,0.112969447787098,0.25752426720468,0.218095022871541
0.01,4,110,500,3.03475037613115,3.94971183176791,5.34218399141114,6.67098645036117,4.04192499601271,4.62689858620641
0.01,4,110,1000,0.625546069366065,0.458029414830583,0.452346882375556,0.201622135136968,1.289241535228,0.170967067455431
0.01,4,110,5000,0.175162735116575,0.105002756868855,0.124898614094749,0.096519041601045,0.187601189942253,0.242081402228651
0.001,2,30,500,11.247375338435,24.8928455824263,29.8917046944936,10.9188985864095,14.861167225786,5.75718173985214
0.001,2,30,1000,12.8531456132393,15.0027328662658,17.4622348497556,6.04920578793408,10.4939278853297,3.7374758711826
0.001,2,30,5000,2.22071668286136,2.3119208518039,2.80438990297023,1.44575527031805,4.77985814789424,2.03996989011683
0.001,2,50,500,9.90450249442595,20.3156374813466,27.0960551986452,10.5638385101333,11.551953789891,3.16090833427473
0.001,2,50,1000,12.0244716566994,13.7443199586333,14.4288687876793,4.06554438562814,5.7760898483557,0.89108330807402
0.001,2,50,5000,1.2514966772826,1.26998558473051,1.69004426365098,1.30296920053702,1.18560428629534,0.83119395817177
0.001,2,70,500,15.5111841065694,18.7480883651905,25.4927933708808,8.53372432610601,6.70048317993391,1.68079773411515
0.001,2,70,1000,9.32844918652443,10.8112206619777,10.6286083653467,5.71349064203387,7.85849022996445,3.09696927973051
0.001,2,70,5000,0.640749064872787,0.928385873858848,1.22590774567269,0.460406140478589,1.26259998260392,0.818230429889892
0.001,2,90,500,11.9746283407268,14.2733027426045,18.2130363574142,3.13740993836202,8.65656689405057,2.35729680938667
0.001,2,90,1000,4.40603658552898,6.9094711475158,7.35717204797439,3.54784679697947,7.13766500972703,1.68718255547414
0.001,2,90,5000,0.379170590856488,1.33892685095853,1.0061596558884,0.298998937223824,1.98100297415018,0.380267084562698
0.001,2,110,500,10.3743285612717,15.5422082108058,20.8732229401872,7.02484854387658,7.38395557629264,3.10777935329157
0.001,2,110,1000,7.0860903753507,9.00728032830056,10.5152563779517,3.6771968274698,5.54552587197861,3.47186989810435
0.001,2,110,5000,0.639143894230694,0.838367590743504,1.27262685621114,0.682930451526924,0.52098574627996,0.893044444391093
0.001,3,30,500,21.1927452863926,18.4675923893961,23.1840129540229,9.70194317714573,11.9913599329926,4.42454494035026
0.001,3,30,1000,6.87223367520701,6.54883223972964,6.47197405336997,4.49309997231641,5.59514717394912,2.92696692240774
0.001,3,30,5000,0.952641100726395,0.975088055214186,1.41147661005962,0.786140720188083,1.54467263929545,0.744195052139788
0.001,3,50,500,9.928312525617,14.3191734056794,16.6183756047145,7.12682204343302,9.13771366658065,1.2563732017633
0.001,3,50,1000,6.25740719369216,6.53675379378072,6.38847127975101,4.29735729635407,6.68091617379881,3.15529566102724
0.001,3,50,5000,0.639311063054547,0.717694571848666,1.34835918818284,0.667434752959105,1.85247068207351,1.30968648126331
0.001,3,70,500,9.2802571667871,11.1938733733102,15.4500977414381,3.7656883691005,6.09144708089289,1.55276389767649
0.001,3,70,1000,3.14753667653478,4.42672043703915,4.38861682816145,3.3809296025893,6.27439685051138,2.13020091228975
0.001,3,70,5000,0.352981658694707,0.704241762930807,0.87440511910265,0.301704362695665,1.67102406168299,0.843211692320909
0.001,3,90,500,10.7843020584284,11.216170064519,13.3221274633238,4.39876464963462,7.38978571000341,2.84159589128959
0.001,3,90,1000,3.80535221087809,4.09306729777475,3.74003682010377,2.04524660228272,4.84938531623045,1.754534634444
0.001,3,90,5000,0.458269891853844,0.558632388400892,0.702876638933514,0.514991601363933,1.44026024465709,0.657688509092952
0.001,3,110,500,9.77801689285274,11.0247151235516,11.812630751078,4.94911640399239,6.50956585053484,2.10385703554431
0.001,3,110,1000,2.66501684645039,3.69616733508164,3.73077659723036,2.59900482999539,4.38252280572795,2.52605983654728
0.001,3,110,5000,0.282536670945788,0.308013230227353,0.441800517436389,0.158403102634684,1.3528343051671,0.458104443868109
0.001,4,30,500,22.8143355709163,17.0526654532786,22.7329200601614,9.06357007043723,13.9034352607529,3.19555118105893
