Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.01,3.0,50.0,1000.0,0.8145130032280293,0.5981468848824011,1.2434374254983784,0.4712855202267089,2.367277570841338,0.40572248383395537
0.01,3.0,50.0,5000.0,0.2897742549017655,0.29852895603110796,0.28233434698417437,0.29505816673199736,0.2054838443541187,0.19563312006962952
0.01,3.0,70.0,500.0,2.9027999351570846,3.202361998631901,2.922339509571368,2.0463692991349,5.1500064730992765,1.8574898788577476
0.01,3.0,70.0,1000.0,0.9922497585228806,0.8633993518203615,0.965240866422773,0.5057029641595823,2.983082185770129,1.329639048010158
0.01,3.0,70.0,5000.0,0.32899931533185156,0.2304284358874757,0.21670860196795766,0.20913816805221372,1.0632130727063724,0.2489924061048875
0.01,3.0,90.0,500.0,1.166591210352797,2.6562282590925057,2.374018293739205,1.6597489669029928,3.8602175482680336,0.7793894332893555
0.01,3.0,90.0,1000.0,0.584471967110581,0.7601532154488729,0.5864939172373813,0.18270661509254707,1.7592580524920562,0.3106680904913607
0.01,3.0,90.0,5000.0,0.6106379470740465,0.653426390597203,0.6547566980709761,0.6710061353884909,0.966470468151474,0.8349340742099776
0.01,3.0,110.0,500.0,1.7739630231154657,2.625853679572105,3.1603695108920298,3.349378942333204,5.39159644005606,1.4834392722705196
0.01,3.0,110.0,1000.0,1.3577061994089403,2.4068617915480823,3.410534164835749,4.542964688496019,4.083168483138944,2.369654522753746
0.01,3.0,110.0,5000.0,0.39170545816252633,0.421103294231599,0.346352143331258,0.1964769982801528,0.26212373975084324,0.25332087277874815
0.01,4.0,30.0,500.0,2.6265624739066777,4.168630269352993,5.153196773468761,4.431015795960882,5.961003269566789,1.3566283099945353
0.01,4.0,30.0,1000.0,1.451547589468322,1.713090277828383,2.159410744698915,1.8934234433496284,1.3436814052023318,0.4617028078255184
0.01,4.0,30.0,5000.0,2.2107624635659993,1.7878037105981521,1.6348437959704045,2.9516890386757733,2.122887023878708,2.60246429069636
0.01,4.0,50.0,500.0,1.9283755198251122,2.338825476822173,1.5663349575758823,2.205302871465124,3.129756533268689,0.9961789331750296
0.01,4.0,50.0,1000.0,0.8409650006029432,1.226955567372327,0.6719939078040824,0.9685035554465911,2.074980211431406,1.031018876685416
0.01,4.0,50.0,5000.0,0.11778388407666569,0.306355411640159,0.168477240442199,0.24613283469610828,0.19054524420568816,0.26220403260768177
